ID, Date, Time, X Acceleration, Y Acceleration, Z Acceleration, Temperature 
0, 16/1/2020, 14:49:58, 0.08, 1.35, 9.78, 22.47 
0, 16/1/2020, 14:49:59, 0.06, 1.3, 9.83, 22.47 
0, 16/1/2020, 14:50:0, 0.08, 1.33, 9.78, 22.44 
0, 16/1/2020, 14:50:1, 0.1, 1.3, 9.75, 22.42 
0, 16/1/2020, 14:50:2, 0.07, 1.33, 9.79, 22.47 
0, 16/1/2020, 14:50:3, 0.09, 1.26, 9.77, 22.47 
0, 16/1/2020, 14:50:4, 0.09, 1.32, 9.81, 22.39 
0, 16/1/2020, 14:50:5, 0.11, 1.33, 9.75, 22.42 
0, 16/1/2020, 14:50:54, 0.08, 1.38, 9.82, 22.44 
0, 16/1/2020, 14:50:55, 0.07, 1.29, 9.82, 22.47 
0, 16/1/2020, 14:50:56, 0.09, 1.32, 9.81, 22.49 
0, 16/1/2020, 14:50:57, 0.11, 1.3, 9.82, 22.49 
0, 16/1/2020, 14:50:58, 0.09, 1.32, 9.77, 22.44 
0, 16/1/2020, 14:50:59, 0.1, 1.31, 9.82, 22.59 
0, 16/1/2020, 14:51:0, 0.1, 1.29, 9.78, 22.52 
0, 16/1/2020, 14:51:1, 0.06, 1.28, 9.79, 22.37 
0, 16/1/2020, 14:51:2, 0.11, 1.34, 9.85, 22.44 
0, 16/1/2020, 14:51:3, 0.07, 1.29, 9.82, 22.47 
0, 16/1/2020, 14:51:4, 0.07, 1.29, 9.68, 22.54 
0, 16/1/2020, 14:51:5, 0.07, 1.26, 9.74, 22.54 
0, 16/1/2020, 14:51:6, 0.09, 1.29, 9.79, 22.54 
0, 16/1/2020, 14:51:7, 0.09, 1.34, 9.79, 22.54 
0, 16/1/2020, 14:51:8, 0.09, 1.3, 9.76, 22.47 
0, 16/1/2020, 14:51:9, 0.07, 1.29, 9.75, 22.34 
0, 16/1/2020, 14:51:10, 0.04, 1.31, 9.86, 22.52 
0, 16/1/2020, 14:51:11, 0.06, 1.3, 9.81, 22.52 
0, 16/1/2020, 14:51:12, 0.06, 1.31, 9.75, 22.52 
0, 16/1/2020, 14:51:13, 0.11, 1.33, 9.76, 22.44 
0, 16/1/2020, 14:51:14, 0.08, 1.28, 9.77, 22.56 
0, 16/1/2020, 14:51:15, 0.09, 1.34, 9.84, 22.47 
0, 16/1/2020, 14:51:16, 0.06, 1.28, 9.76, 22.47 
0, 16/1/2020, 14:51:17, 0.1, 1.29, 9.75, 22.52 
0, 16/1/2020, 14:51:18, 0.09, 1.31, 9.79, 22.56 
0, 16/1/2020, 14:51:19, 0.11, 1.28, 9.77, 22.42 
0, 16/1/2020, 14:51:20, 0.07, 1.26, 9.69, 22.47 
0, 16/1/2020, 14:51:21, 0.06, 1.34, 9.82, 22.49 
0, 16/1/2020, 14:51:22, 0.06, 1.29, 9.8, 22.32 
0, 16/1/2020, 14:51:23, 0.08, 1.29, 9.79, 22.49 
0, 16/1/2020, 14:51:24, 0.06, 1.25, 9.66, 22.52 
0, 16/1/2020, 14:51:25, 0.08, 1.35, 9.83, 22.32 
0, 16/1/2020, 14:51:26, 0.01, 1.32, 9.82, 22.42 
0, 16/1/2020, 14:51:27, 0.08, 1.33, 9.78, 22.54 
0, 16/1/2020, 14:51:28, 0.07, 1.28, 9.75, 22.52 
0, 16/1/2020, 14:51:29, 0.08, 1.34, 9.76, 22.47 
0, 16/1/2020, 14:51:30, 0.09, 1.29, 9.8, 22.52 
0, 16/1/2020, 14:51:32, 0.08, 1.3, 9.78, 22.56 
0, 16/1/2020, 14:51:33, 0.1, 1.28, 9.75, 22.39 
0, 16/1/2020, 14:51:34, 0.09, 1.29, 9.76, 22.47 
0, 16/1/2020, 14:51:35, 0.04, 1.32, 9.68, 22.44 
0, 16/1/2020, 14:51:36, 0.11, 1.32, 9.84, 22.52 
0, 16/1/2020, 14:51:37, 0.07, 1.29, 9.65, 22.37 
0, 16/1/2020, 14:51:38, 0.04, 1.36, 10.09, 22.44 
0, 16/1/2020, 14:51:39, 0.06, 1.33, 9.77, 22.56 
0, 16/1/2020, 14:51:40, 0.08, 1.3, 9.78, 22.52 
0, 16/1/2020, 14:51:41, 0.12, 1.28, 9.74, 22.44 
0, 16/1/2020, 14:51:42, 0.08, 1.26, 9.85, 22.44 
0, 16/1/2020, 14:51:43, 0.05, 1.22, 9.55, 22.49 
0, 16/1/2020, 14:51:44, 0.11, 1.34, 9.92, 22.47 
0, 16/1/2020, 14:51:45, 0.09, 1.28, 9.66, 22.47 
0, 16/1/2020, 14:51:46, 0.04, 1.27, 9.69, 22.49 
0, 16/1/2020, 14:51:47, 0.06, 1.25, 9.74, 22.49 
0, 16/1/2020, 14:51:48, 0.11, 1.34, 9.94, 22.54 
0, 16/1/2020, 14:51:49, 0.07, 1.32, 9.76, 22.34 
0, 16/1/2020, 14:51:50, 0.07, 1.23, 9.7, 22.47 
0, 16/1/2020, 14:51:51, 0.03, 1.29, 9.79, 22.44 
0, 16/1/2020, 14:51:52, 0.11, 1.32, 9.82, 22.49 
0, 16/1/2020, 14:51:53, 0.12, 1.36, 9.93, 22.49 
0, 16/1/2020, 14:51:54, 0.1, 1.3, 9.77, 22.49 
0, 16/1/2020, 14:51:55, 0.07, 1.3, 9.68, 22.42 
0, 16/1/2020, 14:51:56, 0.05, 1.26, 9.78, 22.44 
0, 16/1/2020, 14:51:57, 0.09, 1.35, 9.82, 22.44 
0, 16/1/2020, 14:51:58, 0.08, 1.28, 9.89, 22.54 
0, 16/1/2020, 14:51:59, 0.1, 1.28, 9.76, 22.54 
0, 16/1/2020, 14:52:0, 0.1, 1.34, 9.92, 22.56 
0, 16/1/2020, 14:52:1, 0.11, 1.29, 9.91, 22.52 
0, 16/1/2020, 14:52:2, 0.07, 1.26, 9.69, 22.42 
0, 16/1/2020, 14:52:3, 0.03, 1.29, 9.68, 22.37 
0, 16/1/2020, 14:52:4, 0.08, 1.3, 9.8, 22.47 
0, 16/1/2020, 14:52:5, 0.08, 1.34, 9.79, 22.52 
0, 16/1/2020, 14:52:6, 0.05, 1.3, 9.84, 22.49 
0, 16/1/2020, 14:52:7, 0.08, 1.27, 9.78, 22.49 
0, 16/1/2020, 14:52:8, 0.09, 1.29, 9.81, 22.56 
0, 16/1/2020, 14:52:9, 0.09, 1.25, 9.72, 22.52 
0, 16/1/2020, 14:52:10, 0.09, 1.32, 9.79, 22.54 
0, 16/1/2020, 14:52:12, 0.13, 1.29, 9.65, 22.44 
0, 16/1/2020, 14:52:13, 0.13, 1.25, 9.79, 22.59 
0, 16/1/2020, 14:52:14, 0.08, 1.3, 9.8, 22.49 
0, 16/1/2020, 14:52:15, 0.09, 1.39, 9.93, 22.34 
0, 16/1/2020, 14:52:16, 0.09, 1.36, 9.95, 22.39 
0, 16/1/2020, 14:52:17, 0.05, 1.27, 9.71, 22.34 
0, 16/1/2020, 14:52:18, 0.1, 1.33, 9.85, 22.47 
0, 16/1/2020, 14:52:19, 0.07, 1.27, 9.78, 22.49 
0, 16/1/2020, 14:52:20, 0.11, 1.27, 9.87, 22.34 
0, 16/1/2020, 14:52:21, 0.11, 1.36, 9.95, 22.47 
0, 16/1/2020, 14:52:22, 0.06, 1.34, 9.62, 22.42 
0, 16/1/2020, 14:52:23, 0.09, 1.3, 9.79, 22.42 
0, 16/1/2020, 14:52:24, 0.1, 1.28, 9.66, 22.39 
0, 16/1/2020, 14:52:25, 0.09, 1.36, 9.81, 22.37 
0, 16/1/2020, 14:52:26, 0.06, 1.25, 9.74, 22.52 
0, 16/1/2020, 14:52:27, 0.1, 1.3, 9.81, 22.47 
0, 16/1/2020, 14:52:28, 0.05, 1.3, 9.76, 22.54 
0, 16/1/2020, 14:52:29, 0.09, 1.3, 9.77, 22.47 
0, 16/1/2020, 14:52:30, 0.05, 1.25, 9.57, 22.47 
0, 16/1/2020, 14:52:31, 0.05, 1.36, 10.02, 22.61 
0, 16/1/2020, 14:52:32, 0.06, 1.28, 9.7, 22.37 
0, 16/1/2020, 14:52:33, 0.08, 1.29, 9.8, 22.56 
0, 16/1/2020, 14:52:34, 0.08, 1.31, 9.85, 22.49 
0, 16/1/2020, 14:52:35, 0.07, 1.3, 9.79, 22.44 
0, 16/1/2020, 14:52:36, 0.09, 1.32, 9.83, 22.54 
0, 16/1/2020, 14:52:37, 0.05, 1.29, 9.78, 22.52 
0, 16/1/2020, 14:52:38, 0.06, 1.29, 9.74, 22.49 
0, 16/1/2020, 14:52:39, 0.06, 1.3, 9.83, 22.61 
0, 16/1/2020, 14:52:40, 0.05, 1.31, 9.79, 22.52 
0, 16/1/2020, 14:52:41, 0.09, 1.26, 9.76, 22.47 
0, 16/1/2020, 14:52:42, 0.05, 1.28, 9.57, 22.59 
0, 16/1/2020, 14:52:43, 0.09, 1.25, 9.79, 22.59 
0, 16/1/2020, 14:52:44, 0.09, 1.31, 9.77, 22.54 
0, 16/1/2020, 14:52:45, 0.08, 1.27, 9.69, 22.54 
0, 16/1/2020, 14:52:46, 0.06, 1.31, 9.77, 22.54 
0, 16/1/2020, 14:52:47, 0.06, 1.31, 9.75, 22.54 
0, 16/1/2020, 14:52:48, 0.09, 1.27, 9.75, 22.49 
0, 16/1/2020, 14:52:49, 0.11, 1.27, 9.71, 22.54 
0, 16/1/2020, 14:52:50, 0.1, 1.27, 9.79, 22.52 
0, 16/1/2020, 14:52:52, 0.08, 1.3, 9.8, 22.49 
